source_id,ra,dec,pmra,pmdec,bp_rp,phot_g_mean_mag,parallax
4421576266097389952,229.9248970253305,2.1290761969920946,-2.2245923902986604,-6.128098742897425,1.0675793,17.096933,0.6364564628266957
4421576300457139840,229.94068325777778,2.134072017070512,3.9348323919921073,-9.82962524588241,0.78705215,17.928782,-0.08738969778964686
4421576304757248256,229.94221483620933,2.1358232834555118,4.037120863226899,-10.014463066880412,0.7966461,17.854479,0.2069830525878362
4421576403536346752,229.89095417369225,2.1307405015709064,-2.9735292835175633,-5.97471321916181,1.3464642,17.551905,0.553336413605659
4421576575335121280,229.92176345579057,2.1632232348561304,4.076136346785737,-9.83593580949628,0.93577766,17.399073,0.09032038439341321
4421576579635159296,229.91790901988318,2.153174657065471,-27.51899660460856,-13.11550751087288,1.333291,15.357167,1.720054577764466
4421576648354630912,229.97018473330343,2.148720682087468,1.5114778660003112,-6.940458763846295,0.85795784,16.661665,0.11942412947767991
4421576820153325184,229.97691654355827,2.166132402553433,-7.931271158681596,6.420444903464065,1.1425171,15.377497,1.2148989175045453
4421577369909051776,229.88698081250124,2.16125803315285,-3.3884349245592116,2.6585012691800434,1.0261507,16.184422,0.77766947765624
4421577438628530048,229.85601412074578,2.1567690699750766,0.0698824452572901,-9.094818654112547,0.8172722,17.120293,0.2141971482249116
4421577571768567552,229.88811981655573,2.173024575447684,4.153257197917062,-9.93304094281047,0.7162266,17.957998,0.08292160408732684
4421577576067683072,229.88677561405567,2.1718791214346824,-7.887131947185411,-1.0989751543111292,0.8906412,14.073809,0.9469472446155551
4421577644786963456,229.8712321598715,2.1851125743357525,-1.4126500910061617,-4.797821423897204,0.6693115,17.10121,0.15478857104852103
4421577709206516736,229.9147191850819,2.173588161812881,-4.195060944913845,4.722434675762897,1.823061,17.691353,1.1252436487349164
4421577782226006784,229.90786047164917,2.1823954094784175,-6.483715942312864,-4.022233704544943,0.8082161,16.42147,0.231495586634201
4421577850945481088,229.94316480611747,2.1858575686329043,1.222246633385189,-4.065375168409286,1.0610008,17.245169,0.19739460225023114
4421577850945481984,229.94377364146848,2.1955829783825536,-16.06155571324706,-14.120182591748131,1.3734341,16.630836,0.8846902907053227
